baseline,split,sample_idx,source_time,target_time,target_var,n_land_pixels,mae,rmse,mean_signed_error
persistence,val,21,2024-07-02T03:00:00,2024-07-02T09:00:00,swvl1,351848,4.087892e-03,1.050794e-02,4.325282e-04
persistence,val,21,2024-07-02T03:00:00,2024-07-02T09:00:00,stl1,351848,2.873503e+00,4.746070e+00,-1.320683e+00
persistence,val,21,2024-07-02T03:00:00,2024-07-02T09:00:00,sd,351848,1.620958e-05,2.130028e-04,4.209266e-06
persistence,val,22,2024-07-02T04:00:00,2024-07-02T10:00:00,swvl1,351848,4.555503e-03,1.076730e-02,7.917158e-05
persistence,val,22,2024-07-02T04:00:00,2024-07-02T10:00:00,stl1,351848,3.085507e+00,5.208266e+00,-1.558765e+00
persistence,val,22,2024-07-02T04:00:00,2024-07-02T10:00:00,sd,351848,1.826612e-05,2.819011e-04,8.133892e-06
persistence,val,23,2024-07-02T05:00:00,2024-07-02T11:00:00,swvl1,351848,4.561276e-03,1.093331e-02,-4.441412e-05
persistence,val,23,2024-07-02T05:00:00,2024-07-02T11:00:00,stl1,351848,2.875212e+00,5.040665e+00,-1.336590e+00
persistence,val,23,2024-07-02T05:00:00,2024-07-02T11:00:00,sd,351848,1.916720e-05,3.111472e-04,9.289537e-06
persistence,val,24,2024-07-02T06:00:00,2024-07-02T12:00:00,swvl1,351848,4.533236e-03,1.106262e-02,-1.450045e-04
persistence,val,24,2024-07-02T06:00:00,2024-07-02T12:00:00,stl1,351848,2.902659e+00,5.170935e+00,-1.322379e+00
persistence,val,24,2024-07-02T06:00:00,2024-07-02T12:00:00,sd,351848,1.965369e-05,3.317198e-04,9.971595e-06
persistence,val,25,2024-07-02T07:00:00,2024-07-02T13:00:00,swvl1,351848,4.564368e-03,1.135869e-02,-2.442349e-04
persistence,val,25,2024-07-02T07:00:00,2024-07-02T13:00:00,stl1,351848,2.817123e+00,4.994616e+00,-1.181016e+00
persistence,val,25,2024-07-02T07:00:00,2024-07-02T13:00:00,sd,351848,2.020118e-05,3.507205e-04,1.054174e-05
persistence,val,26,2024-07-02T08:00:00,2024-07-02T14:00:00,swvl1,351848,4.635166e-03,1.177025e-02,-3.506233e-04
persistence,val,26,2024-07-02T08:00:00,2024-07-02T14:00:00,stl1,351848,2.752321e+00,4.616102e+00,-6.700801e-01
persistence,val,26,2024-07-02T08:00:00,2024-07-02T14:00:00,sd,351848,2.085574e-05,3.698625e-04,1.102736e-05
persistence,val,27,2024-07-02T09:00:00,2024-07-02T15:00:00,swvl1,351848,4.731114e-03,1.222273e-02,-4.107019e-04
persistence,val,27,2024-07-02T09:00:00,2024-07-02T15:00:00,stl1,351848,2.728819e+00,4.475422e+00,-4.156765e-01
persistence,val,27,2024-07-02T09:00:00,2024-07-02T15:00:00,sd,351848,2.143792e-05,3.790441e-04,1.139847e-05
persistence,val,28,2024-07-02T10:00:00,2024-07-02T16:00:00,swvl1,351848,3.837094e-03,1.134645e-02,-1.887957e-04
persistence,val,28,2024-07-02T10:00:00,2024-07-02T16:00:00,stl1,351848,2.561023e+00,4.104658e+00,-1.430046e-01
persistence,val,28,2024-07-02T10:00:00,2024-07-02T16:00:00,sd,351848,1.758751e-05,2.318785e-04,8.859057e-06
persistence,val,29,2024-07-02T11:00:00,2024-07-02T17:00:00,swvl1,351848,3.844592e-03,1.153552e-02,-1.719537e-04
persistence,val,29,2024-07-02T11:00:00,2024-07-02T17:00:00,stl1,351848,2.996508e+00,4.542381e+00,3.602069e-01
persistence,val,29,2024-07-02T11:00:00,2024-07-02T17:00:00,sd,351848,1.714363e-05,2.252404e-04,8.626995e-06
persistence,val,30,2024-07-02T12:00:00,2024-07-02T18:00:00,swvl1,351848,3.856117e-03,1.164231e-02,-1.593245e-04
persistence,val,30,2024-07-02T12:00:00,2024-07-02T18:00:00,stl1,351848,3.191451e+00,4.804039e+00,6.555976e-01
persistence,val,30,2024-07-02T12:00:00,2024-07-02T18:00:00,sd,351848,1.692448e-05,2.275900e-04,8.499462e-06
