baseline,split,sample_idx,source_time,target_time,target_var,n_land_pixels,mae,rmse,mean_signed_error
climatology,val,21,2024-07-02T03:00:00,2024-07-02T09:00:00,sd,351848,2.191949e-03,1.226044e-02,1.753517e-03
climatology,val,22,2024-07-02T04:00:00,2024-07-02T10:00:00,swvl1,351848,2.597617e-02,4.300118e-02,2.924412e-03
climatology,val,22,2024-07-02T04:00:00,2024-07-02T10:00:00,stl1,351848,2.215653e+00,3.195376e+00,-5.023616e-01
climatology,val,22,2024-07-02T04:00:00,2024-07-02T10:00:00,sd,351848,2.183924e-03,1.221298e-02,1.748344e-03
climatology,val,23,2024-07-02T05:00:00,2024-07-02T11:00:00,swvl1,351848,2.597984e-02,4.298568e-02,2.871289e-03
climatology,val,23,2024-07-02T05:00:00,2024-07-02T11:00:00,stl1,351848,2.212373e+00,3.165622e+00,-5.173045e-01
climatology,val,23,2024-07-02T05:00:00,2024-07-02T11:00:00,sd,351848,2.178181e-03,1.218252e-02,1.743611e-03
climatology,val,24,2024-07-02T06:00:00,2024-07-02T12:00:00,swvl1,351848,2.614426e-02,4.325067e-02,2.964029e-03
climatology,val,24,2024-07-02T06:00:00,2024-07-02T12:00:00,stl1,351848,2.219687e+00,3.164228e+00,-5.861586e-01
climatology,val,24,2024-07-02T06:00:00,2024-07-02T12:00:00,sd,351848,2.296364e-03,1.259929e-02,1.858635e-03
climatology,val,25,2024-07-02T07:00:00,2024-07-02T13:00:00,swvl1,351848,2.614969e-02,4.325019e-02,2.938751e-03
climatology,val,25,2024-07-02T07:00:00,2024-07-02T13:00:00,stl1,351848,2.199930e+00,3.122304e+00,-6.064971e-01
climatology,val,25,2024-07-02T07:00:00,2024-07-02T13:00:00,sd,351848,2.292450e-03,1.257777e-02,1.855428e-03
climatology,val,26,2024-07-02T08:00:00,2024-07-02T14:00:00,swvl1,351848,2.616080e-02,4.325320e-02,2.900497e-03
climatology,val,26,2024-07-02T08:00:00,2024-07-02T14:00:00,stl1,351848,2.172277e+00,3.068717e+00,-5.947426e-01
climatology,val,26,2024-07-02T08:00:00,2024-07-02T14:00:00,sd,351848,2.288386e-03,1.255630e-02,1.851913e-03
climatology,val,27,2024-07-02T09:00:00,2024-07-02T15:00:00,swvl1,351848,2.615719e-02,4.323546e-02,2.870415e-03
climatology,val,27,2024-07-02T09:00:00,2024-07-02T15:00:00,stl1,351848,2.127153e+00,3.038936e+00,-6.612490e-01
climatology,val,27,2024-07-02T09:00:00,2024-07-02T15:00:00,sd,351848,2.283852e-03,1.253433e-02,1.847838e-03
climatology,val,28,2024-07-02T10:00:00,2024-07-02T16:00:00,swvl1,351848,2.615633e-02,4.322644e-02,2.833532e-03
climatology,val,28,2024-07-02T10:00:00,2024-07-02T16:00:00,stl1,351848,2.110575e+00,3.060358e+00,-6.970244e-01
climatology,val,28,2024-07-02T10:00:00,2024-07-02T16:00:00,sd,351848,2.278578e-03,1.251079e-02,1.842988e-03
climatology,val,29,2024-07-02T11:00:00,2024-07-02T17:00:00,swvl1,351848,2.615170e-02,4.320571e-02,2.808791e-03
